M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.08020859956741333, avg_cost=3113.558349609375
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.07712925970554352, avg_cost=3281.848876953125

alpha=0.02153061224489796
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.001957025844603777, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.0002252756239613518, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.0006464833277277648, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.000621741870418191, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.00032550733885727823, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.0014258907176554203, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.037508197128772736, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.03643007576465607, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.0005470371688716114, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.0005174729158170521, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.074764683842659, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.07648001611232758, avg_cost=3043.386474609375
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.035074081271886826, avg_cost=1695.67138671875
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.03954538330435753, avg_cost=1692.73876953125
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.035039022564888, avg_cost=1694.2855224609375
M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.08864376693964005, avg_cost=3236.938232421875
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.07885846495628357, avg_cost=3113.558349609375
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.0819629579782486, avg_cost=3113.558349609375

alpha=0.022040816326530613
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.00038904850953258574, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.0011797467013821006, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.001023473683744669, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.0020137487445026636, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.001533499569632113, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.0006398421828635037, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.034924812614917755, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.03514130041003227, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.00047869348782114685, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.0014243914047256112, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.06902118027210236, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.07045647501945496, avg_cost=3043.386474609375
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.03420139476656914, avg_cost=1673.8275146484375
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.03300081193447113, avg_cost=1696.439697265625
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.034895919263362885, avg_cost=1680.372802734375
M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.08364365249872208, avg_cost=3236.938232421875
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.07805751264095306, avg_cost=3113.558349609375
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.08283723145723343, avg_cost=3113.558349609375

alpha=0.022551020408163265
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0014639527071267366, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.0007997371722012758, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.00168286869302392, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.0006604440277442336, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.0019614947959780693, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.0030588596127927303, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.03645552694797516, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.03526194766163826, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.0008669229573570192, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.0004897947073914111, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.06874362379312515, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.0846649780869484, avg_cost=3266.376220703125
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.03405539318919182, avg_cost=1695.67138671875
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.029578793793916702, avg_cost=1773.8272705078125
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.030749628320336342, avg_cost=1828.3115234375
M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.0794818177819252, avg_cost=3177.38525390625
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.07891429215669632, avg_cost=3113.558349609375
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.07805515080690384, avg_cost=3113.558349609375

alpha=0.023061224489795917
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0002859703672584146, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.0005916696391068399, avg_cost=13.791701316833496
